,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
western_africa,-1.1950947,-0.42352057,-0.21102944,-1.5823551,0.54465735,-0.7697463,-0.37584054,-0.5428752,-0.15584794,1.2612995,1.0220059,-0.20292467,0.30619428,0.6044107,1.1296958,0.35332906
slovakia,-0.4926342,-0.49297702,0.9602252,-1.0847483,0.408217,-0.27626336,-0.5263261,0.25436294,-0.48191768,1.4560922,-0.35361052,-0.19775431,1.116898,1.1605724,1.1243304,0.7671163
niger,0.4174124,-0.488908,-0.16489364,-0.9920547,0.62967336,-1.0956194,-0.6446424,0.13428585,-0.6845296,1.4377791,1.2763695,-0.6274022,1.3972901,0.42697918,1.4382956,0.9468226
belize,-0.8940693,-0.65596646,0.6074093,-1.4035426,0.4590639,-0.55601585,-0.26563448,1.0920169,-0.67544377,1.8307354,0.5763763,-0.82060057,1.6003437,1.447712,-0.4060607,1.4848512
morocco,-0.9436532,-0.61869264,-0.09114432,-1.1476352,0.40203816,-0.6381569,0.1895996,0.22790298,-0.39494458,1.4166985,0.68721104,-0.8477938,1.6373005,0.63623744,1.3873721,0.9495194
falkland_islands,-1.1017073,-0.36698583,0.28941435,-0.7369921,-0.5151841,-0.5752255,-0.53028345,0.28256193,-0.3423294,1.9400829,0.43575364,-0.9113511,0.45434904,1.3284651,2.3412237,1.2414954
saint_vincent_and_the_grenadines,-0.76920515,-0.04189047,0.49251375,-1.6419469,0.6897239,-0.69628954,-0.38978586,0.38616052,-0.4324508,1.912398,0.24505644,-0.6040953,0.81087035,1.3776373,1.511364,1.0252129
brunei,-0.4355429,-0.4699344,0.8160353,-0.91830575,0.5282633,-0.7077396,-0.6083608,0.3092409,-0.47011882,1.7540079,0.7045689,-0.6413572,0.93514633,0.95528215,1.718041,0.98224205
iran,-0.3634002,-0.7985209,0.62614465,-0.63646585,0.18590395,-0.79338384,-0.40096396,-0.06884313,-0.3650532,0.71722317,0.58763844,-0.387813,1.6985545,0.8762747,0.97729945,0.3635719
indonesia,-0.9895583,-0.5169086,0.97005886,-0.87470686,0.6228188,-0.48945397,-0.4003299,-0.48487946,-0.268694,1.1751618,0.52505594,-0.55697554,1.198227,0.75511014,1.4344189,0.53425103
senegal,-0.5605374,-0.6939797,-0.31559947,-1.2105569,0.39397293,-0.70630145,-0.3000189,0.2956771,-0.11263216,1.2463261,1.516089,-0.1355134,0.8011351,0.50442505,1.5746688,1.3440003
central_america,-0.7667731,-0.27009922,0.5450597,-0.29082525,-0.0858866,-0.3839606,-0.7936324,0.4013133,-0.36680973,1.5211546,0.47481468,-0.98390317,0.095389,1.2399744,1.9350095,0.749852
equatorial_guinea,-0.7511313,-0.15110905,1.2222966,-1.3222518,0.2590693,-0.98823184,-1.7487537,0.032265075,-0.36660567,1.14292,0.2545739,-0.1583144,1.014029,0.6410528,2.130413,0.93829906
gibraltar,-0.41961098,-0.38034248,0.48438945,-0.51302695,0.39243132,0.05827834,0.121822715,0.72760624,-0.44879803,2.4512289,-0.08242506,-1.1246676,2.1793456,1.2699809,2.2564716,1.8622729
hungary,0.3484337,-0.48727152,1.618523,-1.3691332,0.7510581,-0.11934224,-0.49336854,0.30750737,-0.7749027,1.4597131,-0.47893715,-0.38003525,1.503926,0.8795153,1.0384631,0.9998228
poland,-0.65533435,-0.11731144,1.2405183,-1.2004265,0.033074845,-0.29456118,-0.39046064,0.24818322,-0.37052622,0.92273027,-0.38198274,-0.026274532,1.1223552,1.1470244,1.2676615,0.8365721
micronesia,-1.299416,-0.34522393,0.7283067,-0.8518846,1.5592924,-0.16223192,-0.6609909,-0.7716179,0.008660651,1.931973,0.39615208,-1.3101741,0.71482295,1.335058,2.03875,-0.3551258
eritrea,-0.8254709,-0.60419226,0.1906825,-0.9761461,0.29907623,-0.39738432,-0.3371608,0.43237323,-0.15219545,0.80623394,1.1555512,-0.7053227,1.6504757,1.1664814,1.4715997,0.751302
barbados,-1.2919809,-0.6534543,0.4743975,-1.3754139,-0.6725652,-0.60834825,-0.3583481,0.17996325,-0.29742265,1.9752965,0.22322513,-0.60212743,0.94983464,1.2908646,1.7336562,1.1482865
kiribati,-0.52916807,-0.42599404,0.7150164,0.51228297,0.28847507,-0.47231367,-0.5926405,0.14220239,-0.41471368,2.490817,0.34219348,-1.3744377,1.6788908,1.0732028,1.6413713,1.1878165
italy,-0.2753232,-0.34075075,1.8914125,-0.80326223,0.71782494,-0.37770817,-0.32971704,0.011337271,-0.4610445,1.3540587,-0.27347234,-0.46653056,1.1083202,1.0297931,1.0159569,0.6349875
new_zealand,-1.2497573,-0.7009187,0.16923535,-1.7461249,0.5444603,-0.7420964,-0.6039249,-1.2807206,-0.6101095,2.563115,0.26799414,-1.0222129,2.112913,1.8562492,1.8330171,-0.35032344
liechtenstein,-0.92078334,-0.30916044,0.91325605,-1.7821298,0.005639357,-0.82222325,0.11964868,0.46004418,-0.41086817,1.8466104,-0.49279475,-0.6677718,-0.009215773,1.1988506,1.8771139,1.1511736
guam,-1.1852987,-0.21725605,0.62311804,-1.5652186,-0.081545986,-0.34743807,-0.17287432,-0.05497846,-0.26489556,1.6300507,0.3128203,-0.7213312,1.3386612,1.5919876,1.0557945,1.3660581
venezuela,-0.81402516,-0.36155528,1.0202333,-1.4711591,0.46201882,-0.5880308,-0.11864147,0.057452396,-0.21565346,1.6788013,0.34760967,-0.19179623,1.3628583,0.935234,1.2718838,0.5001977
afghanistan,-0.69098204,-0.87900376,-0.3427352,-1.0341153,0.2555416,-0.34534624,-0.5262594,0.4254837,-0.31820744,0.93835235,0.6220191,-0.43742308,1.182411,0.7791061,1.1615351,0.79944
greece,-0.38875026,-0.58606696,0.7377038,-0.8345556,0.19675043,-1.376406,-0.775756,0.3484089,-0.9124905,0.4756862,0.04181879,-0.28171614,1.0199288,1.3078293,1.5179069,0.7636277
iraq,-0.3084135,-0.1762148,0.9425679,-1.243468,-0.52854997,-0.5641485,-0.8063451,0.1153534,-0.3926369,1.1366276,0.08136476,-0.5098209,0.67372066,0.6444475,2.0214164,0.76197624
republic_of_the_congo,-1.3266556,-0.7385466,0.7448725,-1.6185919,0.5005272,-0.465705,-0.0055720024,-0.14817645,-0.30278274,2.0382361,0.40244922,-0.7091046,0.15684092,0.9748506,0.12836184,0.47110063
mayotte,-0.41650456,-0.028309943,0.39504212,-0.8745814,0.63406444,-0.6618784,-0.4080199,0.25708476,-0.40258244,1.26314,0.9796228,-0.9745495,1.761977,1.4612598,1.9306395,1.1865116
qatar,-1.0326753,-0.71133053,0.49055916,-1.6072788,0.31347352,-0.4178137,-0.7418305,0.014012774,-0.37521195,1.6859047,0.22850566,-0.8902789,0.82898533,1.6385657,2.327984,0.006437148
british_virgin_islands,-1.315449,-0.46486834,0.61174166,-0.063100055,0.49325264,-0.69052935,-0.4366356,0.06978323,-0.30195367,1.9567866,0.22098933,-0.9689903,1.4394194,1.3064139,2.1298358,0.9389843
peru,-0.5741033,0.012167587,1.2919744,-1.1565313,0.605994,-0.3789138,-0.54961455,-0.26690188,-0.4459823,1.3680696,0.2834941,-0.27277616,1.0650698,0.9518164,1.0738713,0.7816354
austria,-0.65792596,-0.31415775,0.9478047,-0.50072587,0.44646353,-0.1989623,-0.43780833,0.29435766,-0.43982503,1.0456479,-0.5971501,-0.36929715,1.1286819,0.84098274,1.4089248,0.90850806
norway,-0.5760762,0.06886441,1.5330036,-1.8186543,0.3423722,-0.42148045,-0.44690406,0.31893894,-0.43957558,1.460536,0.0682791,-0.052497145,1.0559791,0.99840313,1.458759,0.9921416
