,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,0.9351171,-0.7046625,-2.64216,-1.0793892,-0.31369117,2.1599507,-1.5242684,-1.5622219,-1.4962796,-2.500522,1.5797145,0.84151185,1.2225157,-2.3815296,-1.9685415,0.048795868,3.1935816,-0.23803414,0.20474063,3.0404935,1.6758635,4.0316076,2.7324197,5.6358495,0.17174949,-2.6260011,1.9228538,-2.1457715,3.4404926,0.45643407,-8.883999,-0.15570058
manifestation_of,-2.1066444,-0.12157263,-0.63783735,-1.5316846,0.18982239,-0.105710655,-1.748567,0.08809165,-0.2340928,-0.5442913,0.86922467,-0.4831195,0.22687021,0.7667289,-1.1804367,1.3362495,1.3199002,-0.055482734,2.0405915,4.2360606,-0.74558353,4.0848575,3.117486,-0.28643495,-1.9580534,-3.2644413,0.3624614,1.4879191,-1.4926788,4.4025187,-0.026205136,1.5830859
isa,-0.47823104,-0.61006206,-0.8449526,-2.9891171,0.4657425,-1.1907567,-1.9984586,-1.225819,-2.2140255,0.6754134,-1.3951466,1.436021,-1.4711415,-1.1600837,0.1358835,1.24854,-1.796261,1.2572014,-1.2644082,0.43743524,-0.402381,-1.0259196,0.830639,-0.031281754,-1.3583007,2.1792393,0.15202384,1.7215106,1.848868,-1.6755887,3.6567733,-5.2806206
affects,-1.7530847,-0.74224865,-2.17254,-1.1019868,-1.8166423,-1.185819,-0.88724834,0.5869159,-0.2661232,-0.9021403,-1.2159009,0.24356958,0.099321395,-2.294648,-1.7368962,-1.6853015,1.6379956,-2.6011791,6.2395506,1.0529139,-1.0164738,1.1002827,4.1726832,0.29472095,-0.62713075,-0.7258869,0.68859017,1.4584141,-1.5466708,-0.94274676,2.1349063,-0.23899494
associated_with,-2.993595,-1.9354645,-1.2693089,-1.2198576,-0.053554546,1.373915,0.0732461,0.41270778,-4.0105743,-0.86644495,1.012734,-0.77744836,0.49731237,-0.3630955,-2.2250266,0.4712335,5.3673697,-4.823248,3.002351,1.3787208,2.962478,-0.052481532,2.2109275,-0.51132345,0.5657642,1.9279425,-0.85577255,2.9660354,-1.1762564,4.256487,0.6548738,0.46263447
interacts_with,-1.0176779,-1.635194,-1.9932934,-1.6091185,1.9067158,-0.64677924,-2.598987,-0.13592464,-1.9757836,-2.1200857,-0.7407199,0.17240004,0.98367286,-1.9247146,-0.20034288,1.6852832,0.7452507,4.2425075,-0.7128143,1.0959871,2.8431444,5.6848483,2.5199323,-0.27302048,-2.7614274,-0.23966621,-6.128977,-2.8144536,0.9194219,3.6986725,0.3820894,1.855668
result_of,-1.5713084,-0.31855625,-0.19969186,-2.082366,0.60611236,-0.9721677,-0.2452706,-1.5533892,-1.488761,0.015063514,0.7378287,0.45718032,-0.15699776,-0.076178804,-0.7491531,0.4668868,0.2559884,-0.54913175,-0.54393137,1.8954127,0.2444573,0.4523735,2.467245,2.0905304,0.82713854,-3.2754285,-0.22432536,-0.29318503,-0.43723345,0.9171558,-0.4411509,-1.5153885
complicates,0.58625025,0.88841534,-0.3618504,-1.7333759,-0.11818232,0.4262248,-1.394666,1.1655488,-1.5417176,-0.87842715,0.63998777,-0.39758837,-1.781635,-0.28705356,-1.0893084,0.22203629,1.5389456,2.1035867,7.0180144,3.7206073,-0.3148304,2.3264942,3.7341785,3.8326812,0.7904552,0.676923,-2.4988668,1.8663467,-4.0084047,-1.8277014,-0.46124747,-1.8364086
occurs_in,-2.955159,-1.4402589,-0.6985171,-2.0985696,0.8454998,1.8329875,-0.68072134,0.9880865,-2.9596665,-1.1089759,0.18809105,-0.9106873,-1.2230535,1.2673243,-1.766679,-0.7369866,4.839223,0.660915,2.333304,3.211408,1.4870957,0.42708516,-2.0857363,-2.3688064,1.4121139,2.664894,-1.3346823,1.9351798,0.9477964,0.48401767,-2.290141,3.3865902
uses,-1.4002768,1.782623,-0.29658315,-1.191674,0.32704312,-1.2725651,-2.2981398,-1.0330974,-2.6648579,-1.678318,3.486926,0.05815455,0.35235742,-0.41904342,-0.9856838,-1.1342584,-1.7824515,-5.474507,-0.7389282,5.1710987,-4.053272,5.039095,0.36784753,4.8381486,-0.30943587,2.4875376,1.003576,-1.5172435,-2.0671332,-2.2975118,-3.7834058,-1.1496613
