"Timestamp","Have you ever encountered or worked with machine learning technologies in any capacity, either personally or professionally?","Are you familiar or have any initial experinece with the concept of Explainable AI?","On a scale of 1 to 5, how confident do you feel in your understanding of the ""SUB-GRAPH""
explanation provided?","On a scale of 1 to 5, how clear was the  ""SUB-GRAPH""   explanation?","How did you find the length/size of the  ""SUB-GRAPH""   explanation?","On a scale of 1 to 5, how confident do you feel in your understanding of the ""LOGICAL""
explanation provided?","On a scale of 1 to 5, how clear was the  ""LOGICAL""   explanation?","How did you find the length/size of the  ""LOGICAL""  explanation?","Among the types of explanations provided, which type of explanation would you prefer?","Among the types of explanations provided, which type of explanation do you feel easier to understand?","In the context of Explainable AI (XAI) 
Interpretability: Refers to the ease with which a human can understand the reasoning behind a model's prediction. In graph machine learning, this means how clearly a model can explain its decisions using the graph's structure, such as highlighting specific nodes or edges that influenced a prediction.
Fidelity: Indicates the accuracy with which the explanation reflects the model's actual decision-making process. High fidelity means the explanation closely mirrors how the model uses the graph's features to arrive at its conclusions, ensuring the explanation is not just understandable, but also truthful to the model's operation.
In your opinion, what is the most important aspect of an explanation among the options provided?","Do you have any remarks about the explanations provided in this Survey? If yes, please provide a short comment.","Do you have any remarks about the overall experience of this Survey? If yes, please provide a short comment."
"2023/12/15 1:11:28 PM GMT+1","No","No","3","3","Sufficient","3","3","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","","The content was crisp and clear "
"2023/12/15 7:50:10 PM GMT+1","Yes","Yes","4","3","Sufficient","3","3","Sufficient","Logical Explanation","Logical Explanation","Interpretability","","No"
"2023/12/16 8:50:47 AM GMT+1","Yes","No","3","2","Sufficient","2","1","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Fidelity","","Overall my experience is positive. The survey questions are well done and easy to understand."
"2023/12/16 11:01:07 AM GMT+1","Yes","Yes","5","5","Sufficient","4","4","Sufficient","Logical Explanation","Logical Explanation","Fidelity","","No"
"2023/12/16 12:49:02 PM GMT+1","Yes","No","2","2","Insufficient","1","1","Insufficient","Sub-graph Explanation","Sub-graph Explanation","Fidelity","","I would like to understand the decision making process more explicitly.  Also with little more simple non technical english words because I don't have much of knowledge in this field."
"2023/12/16 4:41:19 PM GMT+1","Yes","Yes","4","4","Sufficient","4","4","Sufficient","Logical Explanation","Logical Explanation","Interpretability","","It was good "
"2023/12/17 1:48:04 PM GMT+1","Yes","Yes","4","4","Sufficient","3","3","Insufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","","I liked the topic of this survey."
"2023/12/17 9:20:20 PM GMT+1","No","No","4","5","Excessive","4","4","Sufficient","Logical Explanation","Sub-graph Explanation","Fidelity","Sub graph explanations are visual and intuitively understandable while logical explanations seemed more appropriate for domain experts ","Survey was good"
"2023/12/17 9:25:53 PM GMT+1","Yes","Yes","4","3","Excessive","4","5","Sufficient","Logical Explanation","Sub-graph Explanation","Interpretability","",""
"2023/12/17 10:22:28 PM GMT+1","Yes","Yes","3","2","Sufficient","2","2","Sufficient","Logical Explanation","Logical Explanation","Fidelity","",""
"2023/12/18 6:52:35 AM GMT+1","Yes","Yes","2","2","Insufficient","5","5","Sufficient","Logical Explanation","Logical Explanation","Interpretability","",""
"2023/12/18 8:27:11 AM GMT+1","Yes","Yes","3","4","Sufficient","3","4","Sufficient","Logical Explanation","Logical Explanation","Fidelity","",""
"2023/12/18 10:07:46 AM GMT+1","Yes","Yes","2","3","Sufficient","2","3","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","It's quite difficult for my mind to capture this","It's was short and didn't took alot of my time"
"2023/12/18 5:29:23 PM GMT+1","Not Sure","No","4","5","Sufficient","4","4","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Fidelity","",""
"2023/12/18 5:51:00 PM GMT+1","Yes","Yes","2","4","Insufficient","5","5","Sufficient","Logical Explanation","Logical Explanation","Interpretability","Explanation of both were good but I feel like the graph image could be better.",""
"2023/12/18 6:10:46 PM GMT+1","Yes","No","2","1","Sufficient","1","2","Insufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","",""
"2023/12/18 6:23:43 PM GMT+1","Yes","Yes","4","4","Sufficient","4","4","Sufficient","Logical Explanation","Logical Explanation","Fidelity","Overall the explanation was short and good.","After explanation,one or two example question based on explanation if present could evaluate the actual Vs estimated understanding of reviewers."
"2023/12/18 6:39:50 PM GMT+1","Yes","No","3","2","Sufficient","3","2","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","",""
"2023/12/18 7:16:56 PM GMT+1","Not Sure","No","2","2","Sufficient","2","2","Insufficient","Sub-graph Explanation","Sub-graph Explanation","Fidelity","",""
"2023/12/18 7:48:52 PM GMT+1","Yes","No","2","5","Insufficient","3","3","Insufficient","Logical Explanation","Logical Explanation","Interpretability","",""
"2023/12/19 5:06:24 AM GMT+1","Yes","Yes","2","1","Insufficient","2","2","Sufficient","Logical Explanation","Logical Explanation","Interpretability","Please explain the operands used in explanation?","There is no target node in sub graph explanation. "
"2023/12/19 7:41:38 AM GMT+1","Yes","Yes","3","4","Excessive","3","4","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Fidelity","",""
"2023/12/19 11:32:09 AM GMT+1","Yes","Yes","1","2","Sufficient","2","3","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","",""
"2023/12/19 1:24:00 PM GMT+1","Yes","Yes","4","4","Sufficient","3","2","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Fidelity","",""
"2023/12/19 2:10:26 PM GMT+1","Yes","No","3","3","Sufficient","3","3","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","",""
"2023/12/19 5:46:18 PM GMT+1","Yes","Yes","5","5","Sufficient","4","4","Insufficient","Sub-graph Explanation","Sub-graph Explanation","Fidelity","",""
"2023/12/20 8:42:42 AM GMT+1","Not Sure","Yes","2","2","Insufficient","3","3","Sufficient","Sub-graph Explanation","Sub-graph Explanation","Interpretability","",""
